employee_id,job_role,onet_soc_code,missing_skill,importance_score
1,Sales Executive,41-9031.00,Mathematics,3.0
1,Sales Executive,41-9031.00,Science,2.12
1,Sales Executive,41-9031.00,Critical Thinking,4.0
1,Sales Executive,41-9031.00,Active Learning,3.75
1,Sales Executive,41-9031.00,Monitoring,2.88
1,Sales Executive,41-9031.00,Ab Initio,3.0
1,Sales Executive,41-9031.00,Amazon Web Services AWS software,5.0
1,Sales Executive,41-9031.00,Apache Hadoop,4.0
1,Sales Executive,41-9031.00,Apache Pig,3.0
1,Sales Executive,41-9031.00,Apache Struts,3.0
1,Sales Executive,41-9031.00,Atlassian JIRA,4.0
1,Sales Executive,41-9031.00,Autodesk AutoCAD,4.0
1,Sales Executive,41-9031.00,Border Gateway Protocol BGP,4.0
1,Sales Executive,41-9031.00,C,4.0
1,Sales Executive,41-9031.00,C++,4.0
1,Sales Executive,41-9031.00,Cisco Systems CiscoWorks,3.0
1,Sales Executive,41-9031.00,Cisco Systems VPN Client,3.0
1,Sales Executive,41-9031.00,Enterprise application integration EAI software,3.0
1,Sales Executive,41-9031.00,Enterprise JavaBeans,3.0
1,Sales Executive,41-9031.00,Extensible markup language XML,4.0
1,Sales Executive,41-9031.00,Google Cloud software,3.0
1,Sales Executive,41-9031.00,Google Workspace software,4.0
1,Sales Executive,41-9031.00,Graphics software,3.0
1,Sales Executive,41-9031.00,Hewlett Packard HP-UX,3.0
1,Sales Executive,41-9031.00,Hyperion Solutions Hyperion System 9 Bi+,3.0
1,Sales Executive,41-9031.00,IBM Cognos Impromptu,3.0
1,Sales Executive,41-9031.00,IBM DB2,4.0
1,Sales Executive,41-9031.00,IBM Domino,3.0
1,Sales Executive,41-9031.00,JavaScript,4.0
1,Sales Executive,41-9031.00,Kubernetes,4.0
1,Sales Executive,41-9031.00,Linux,4.0
1,Sales Executive,41-9031.00,McAfee,3.0
1,Sales Executive,41-9031.00,Microsoft Access,4.0
1,Sales Executive,41-9031.00,Microsoft Active Directory,4.0
1,Sales Executive,41-9031.00,Microsoft Azure software,5.0
1,Sales Executive,41-9031.00,Microsoft Office software,5.0
1,Sales Executive,41-9031.00,Microsoft Outlook,4.0
1,Sales Executive,41-9031.00,Microsoft Project,4.0
1,Sales Executive,41-9031.00,Microsoft Visio,4.0
1,Sales Executive,41-9031.00,MicroStrategy,3.0
1,Sales Executive,41-9031.00,Network directory services software,3.0
1,Sales Executive,41-9031.00,NortonLifeLock cybersecurity software,3.0
1,Sales Executive,41-9031.00,Oracle Database,4.0
1,Sales Executive,41-9031.00,Oracle Java,4.0
1,Sales Executive,41-9031.00,Platform as a service PaaS,3.0
1,Sales Executive,41-9031.00,R,4.0
1,Sales Executive,41-9031.00,React,4.0
1,Sales Executive,41-9031.00,RESTful API,3.0
1,Sales Executive,41-9031.00,Sales analysis software,3.0
1,Sales Executive,41-9031.00,Salesforce software,5.0
1,Sales Executive,41-9031.00,SAP Adaptive Server Enterprise,3.0
1,Sales Executive,41-9031.00,SAP Business One,3.0
1,Sales Executive,41-9031.00,SAP BusinessObjects Crystal Reports,3.0
1,Sales Executive,41-9031.00,Scheduling software,3.0
1,Sales Executive,41-9031.00,Security assertion markup language SAML,3.0
1,Sales Executive,41-9031.00,Shell script,4.0
1,Sales Executive,41-9031.00,Virtual private networking VPN software,3.0
1,Sales Executive,41-9031.00,Voice over internet protocol VoIP system software,3.0
1,Sales Executive,41-9031.00,Wireshark,3.0
2,Research Scientist,19-1042.00,Mathematics,3.62
2,Research Scientist,19-1042.00,Critical Thinking,4.0
2,Research Scientist,19-1042.00,Monitoring,3.62
2,Research Scientist,19-1042.00,IBM Notes,3.0
2,Research Scientist,19-1042.00,LexisNexis,3.0
2,Research Scientist,19-1042.00,Medical Scientists MediSave,3.0
2,Research Scientist,19-1042.00,Microsoft Dynamics,3.0
2,Research Scientist,19-1042.00,Microsoft Exchange,3.0
2,Research Scientist,19-1042.00,Microsoft PowerPoint,4.0
2,Research Scientist,19-1042.00,Microsoft Visual Basic,4.0
2,Research Scientist,19-1042.00,PerkinElmer TurboMass,3.0
2,Research Scientist,19-1042.00,Python,4.0
2,Research Scientist,19-1042.00,R,5.0
2,Research Scientist,19-1042.00,StataCorp Stata,3.0
2,Research Scientist,19-1042.00,Waters Q-DIS/QM LIMS,3.0
4,Laboratory Technician,29-2012.00,Reading Comprehension,3.75
4,Laboratory Technician,29-2012.00,Writing,3.0
4,Laboratory Technician,29-2012.00,Billing software,3.0
4,Laboratory Technician,29-2012.00,Data entry software,3.0
4,Laboratory Technician,29-2012.00,Database software,3.0
4,Laboratory Technician,29-2012.00,Electronic medical record EMR software,3.0
4,Laboratory Technician,29-2012.00,Email software,3.0
4,Laboratory Technician,29-2012.00,IBM Notes,3.0
4,Laboratory Technician,29-2012.00,Laboratory information system LIS,3.0
4,Laboratory Technician,29-2012.00,Medical digital imaging software,3.0
4,Laboratory Technician,29-2012.00,Medical system integration software,3.0
4,Laboratory Technician,29-2012.00,MEDITECH software,4.0
4,Laboratory Technician,29-2012.00,Microsoft Office software,5.0
4,Laboratory Technician,29-2012.00,Microsoft Outlook,4.0
4,Laboratory Technician,29-2012.00,Microsoft PowerPoint,4.0
4,Laboratory Technician,29-2012.00,Microsoft Word,4.0
4,Laboratory Technician,29-2012.00,National Instruments LabVIEW,3.0
4,Laboratory Technician,29-2012.00,Reimbursement screening software,3.0
4,Laboratory Technician,29-2012.00,Specimen tracking software,3.0
4,Laboratory Technician,29-2012.00,Sunquest Information Systems Sunquest Laboratory,3.0
4,Laboratory Technician,29-2012.00,Test routing software,3.0
5,Research Scientist,19-1042.00,Monitoring,3.62
5,Research Scientist,19-1042.00,BioArray Software Environment BASE,3.0
5,Research Scientist,19-1042.00,FileMaker Pro,3.0
5,Research Scientist,19-1042.00,IBM SPSS Statistics,4.0
5,Research Scientist,19-1042.00,Integrated development environment IDE software,3.0
5,Research Scientist,19-1042.00,LexisNexis,3.0
5,Research Scientist,19-1042.00,Medical Scientists HybridAI,3.0
5,Research Scientist,19-1042.00,Medical Scientists MediSave,3.0
5,Research Scientist,19-1042.00,Microsoft PowerPoint,4.0
5,Research Scientist,19-1042.00,Microsoft Project,4.0
5,Research Scientist,19-1042.00,Microsoft Publisher,3.0
5,Research Scientist,19-1042.00,Minitab,3.0
5,Research Scientist,19-1042.00,R,5.0
5,Research Scientist,19-1042.00,StataCorp Stata,3.0
5,Research Scientist,19-1042.00,Statistical software,3.0
5,Research Scientist,19-1042.00,The MathWorks MATLAB,4.0
5,Research Scientist,19-1042.00,UNIX,4.0
5,Research Scientist,19-1042.00,Waters Millennium32,3.0
5,Research Scientist,19-1042.00,Waters Q-DIS/QM LIMS,3.0
7,Laboratory Technician,29-2012.00,Reading Comprehension,3.75
7,Laboratory Technician,29-2012.00,Science,3.0
7,Laboratory Technician,29-2012.00,Learning Strategies,2.75
7,Laboratory Technician,29-2012.00,Billing software,3.0
7,Laboratory Technician,29-2012.00,Commercial plate reader software,3.0
7,Laboratory Technician,29-2012.00,Data entry software,3.0
7,Laboratory Technician,29-2012.00,Electronic medical record EMR software,3.0
7,Laboratory Technician,29-2012.00,Email software,3.0
7,Laboratory Technician,29-2012.00,FileMaker Pro,3.0
7,Laboratory Technician,29-2012.00,IBM Notes,3.0
7,Laboratory Technician,29-2012.00,Laboratory information system LIS,3.0
7,Laboratory Technician,29-2012.00,Medical digital imaging software,3.0
7,Laboratory Technician,29-2012.00,Medical system integration software,3.0
7,Laboratory Technician,29-2012.00,Microscopic image capturing software,3.0
7,Laboratory Technician,29-2012.00,Quality control software,3.0
7,Laboratory Technician,29-2012.00,Quizlet,3.0
7,Laboratory Technician,29-2012.00,SAP software,4.0
7,Laboratory Technician,29-2012.00,Specimen tracking software,3.0
7,Laboratory Technician,29-2012.00,Test result delivery software,3.0
7,Laboratory Technician,29-2012.00,Test routing software,3.0
8,Laboratory Technician,29-2012.00,Active Listening,3.62
8,Laboratory Technician,29-2012.00,Speaking,3.12
8,Laboratory Technician,29-2012.00,Mathematics,2.75
8,Laboratory Technician,29-2012.00,Active Learning,3.0
8,Laboratory Technician,29-2012.00,Monitoring,3.0
8,Laboratory Technician,29-2012.00,Billing software,3.0
8,Laboratory Technician,29-2012.00,Commercial plate reader software,3.0
8,Laboratory Technician,29-2012.00,FileMaker Pro,3.0
8,Laboratory Technician,29-2012.00,Google Docs,4.0
8,Laboratory Technician,29-2012.00,IBM Notes,3.0
8,Laboratory Technician,29-2012.00,Medical digital imaging software,3.0
8,Laboratory Technician,29-2012.00,Medical system integration software,3.0
8,Laboratory Technician,29-2012.00,MEDITECH software,4.0
8,Laboratory Technician,29-2012.00,Microsoft Excel,5.0
8,Laboratory Technician,29-2012.00,Microsoft PowerPoint,4.0
8,Laboratory Technician,29-2012.00,Microsoft Word,4.0
8,Laboratory Technician,29-2012.00,National Instruments LabVIEW,3.0
8,Laboratory Technician,29-2012.00,Reimbursement screening software,3.0
8,Laboratory Technician,29-2012.00,SAP software,4.0
8,Laboratory Technician,29-2012.00,Specimen tracking software,3.0
8,Laboratory Technician,29-2012.00,Test routing software,3.0
10,Laboratory Technician,29-2012.00,Speaking,3.12
10,Laboratory Technician,29-2012.00,Science,3.0
10,Laboratory Technician,29-2012.00,Critical Thinking,3.25
10,Laboratory Technician,29-2012.00,Learning Strategies,2.75
10,Laboratory Technician,29-2012.00,Monitoring,3.0
10,Laboratory Technician,29-2012.00,Electronic medical record EMR software,3.0
10,Laboratory Technician,29-2012.00,Hematology laboratory workflow management software,3.0
10,Laboratory Technician,29-2012.00,Laboratory information system LIS,3.0
10,Laboratory Technician,29-2012.00,Medical digital imaging software,3.0
10,Laboratory Technician,29-2012.00,Medical system integration software,3.0
10,Laboratory Technician,29-2012.00,Microsoft Excel,5.0
10,Laboratory Technician,29-2012.00,Microsoft Office software,5.0
10,Laboratory Technician,29-2012.00,Microsoft PowerPoint,4.0
