employee_id,current_skill,source
1,Web browser software,synthesized
1,Structured query language SQL,synthesized
1,Learning Strategies,synthesized
1,Extensible hypertext markup language XHTML,synthesized
1,Apache HBase,synthesized
1,Microsoft SQL Server,synthesized
1,WebEx Sales Center,synthesized
1,Microsoft Office Live Meeting,synthesized
1,Microsoft PowerPoint,synthesized
1,Ruby,synthesized
1,Management information systems MIS,synthesized
1,Citrix cloud computing software,synthesized
1,Ansible software,synthesized
1,Microsoft SharePoint,synthesized
1,Speaking,synthesized
1,MapReduce big data software,synthesized
1,Microsoft Excel,synthesized
1,PHP,synthesized
1,Reading Comprehension,synthesized
1,Teradata Database,synthesized
1,Firewall software,synthesized
1,Docker,synthesized
1,Oracle Solaris,synthesized
1,Apache Cassandra,synthesized
1,IBM Cognos Business Intelligence,synthesized
1,SAP software,synthesized
1,Writing,synthesized
1,Python,synthesized
1,MicroStrategy Desktop,synthesized
1,Active Listening,synthesized
1,Single sign-on SSO,synthesized
1,Dassault Systemes SolidWorks,synthesized
1,Microsoft Dynamics,synthesized
1,SAP Business Objects,synthesized
1,Microsoft Word,synthesized
1,Database management software,synthesized
1,Microsoft Exchange,synthesized
1,UNIX,synthesized
1,Software as a service SaaS,synthesized
1,Informatica Corporation PowerCenter,synthesized
1,Microsoft Windows Server,synthesized
1,Perl,synthesized
1,Oracle PeopleSoft,synthesized
1,Microsoft Teams,synthesized
1,Splunk Enterprise,synthesized
1,Apple iOS,synthesized
2,Speaking,synthesized
2,Science,synthesized
2,Waters Millennium32,synthesized
2,Microsoft Excel,synthesized
2,Adobe Photoshop,synthesized
2,Linux,synthesized
2,IBM SPSS Statistics,synthesized
2,Statistical software,synthesized
2,ESRI ArcGIS software,synthesized
2,Writing,synthesized
2,UNIX,synthesized
2,Microsoft Project,synthesized
2,Microsoft Office software,synthesized
2,National Instruments LabVIEW,synthesized
2,Waters Empower 2,synthesized
2,Microsoft Publisher,synthesized
2,Thermo ToxLab,synthesized
2,Learning Strategies,synthesized
2,Minitab,synthesized
2,Active Listening,synthesized
2,Reading Comprehension,synthesized
2,BioArray Software Environment BASE,synthesized
2,FileMaker Pro,synthesized
2,SAS,synthesized
2,Database software,synthesized
2,The MathWorks MATLAB,synthesized
2,Microsoft Word,synthesized
2,Waters MassLynx,synthesized
2,Integrated development environment IDE software,synthesized
2,Triple G ULTRA Laboratory Information System,synthesized
2,Active Learning,synthesized
2,Medical Scientists HybridAI,synthesized
4,Critical Thinking,synthesized
4,Microsoft Excel,synthesized
4,Minitab,synthesized
4,Monitoring,synthesized
4,Science,synthesized
4,Mathematics,synthesized
4,Active Listening,synthesized
4,Test result delivery software,synthesized
