skill,missing_count,severity,avg_importance_score
Science,689,HIGH,2.556284470246734
Critical Thinking,689,HIGH,3.80899854862119
Active Listening,684,HIGH,3.936315789473684
Mathematics,679,HIGH,2.9739322533136967
Monitoring,676,HIGH,3.349378698224852
Learning Strategies,669,HIGH,3.081704035874439
Speaking,667,HIGH,3.8752623688155925
Microsoft Word,665,HIGH,4.0
Active Learning,663,HIGH,3.551025641025641
Writing,661,HIGH,3.6022692889561267
Reading Comprehension,658,HIGH,3.911306990881459
Microsoft Excel,651,HIGH,5.0
Microsoft PowerPoint,645,HIGH,4.463565891472868
Microsoft Office software,625,HIGH,5.0
Microsoft Outlook,512,HIGH,4.2734375
Microsoft Project,485,HIGH,4.0
Microsoft Dynamics,464,HIGH,3.0
Database software,464,HIGH,3.0
IBM Notes,449,HIGH,3.0
SAP software,421,HIGH,4.144893111638955
Microsoft Exchange,405,HIGH,3.0
FileMaker Pro,384,HIGH,3.0
R,350,HIGH,4.345714285714286
Minitab,341,HIGH,3.0
Web browser software,333,HIGH,3.0
SAP Business Objects,331,HIGH,3.0
Microsoft Access,325,HIGH,4.0
Adobe Photoshop,302,HIGH,4.0
UNIX,301,HIGH,4.0
Oracle PeopleSoft,296,HIGH,4.0
Python,285,HIGH,4.533333333333333
Linux,283,HIGH,4.0
IBM SPSS Statistics,272,HIGH,4.0
Salesforce software,262,HIGH,4.732824427480916
National Instruments LabVIEW,262,HIGH,3.0
Autodesk AutoCAD,261,HIGH,4.0
Microsoft SharePoint,259,HIGH,4.0
Oracle Database,253,HIGH,4.0
Google Docs,250,HIGH,4.0
Microsoft Visio,247,HIGH,4.0
StataCorp Stata,235,HIGH,3.0
SAS,229,HIGH,4.0
Structured query language SQL,229,HIGH,4.0
Oracle Solaris,228,HIGH,3.0
Citrix cloud computing software,224,HIGH,3.0
Microsoft SQL Server,222,HIGH,4.0
MicroStrategy,218,HIGH,3.0
LexisNexis,218,HIGH,3.0
Microsoft Publisher,213,HIGH,3.0
Scheduling software,209,HIGH,3.0
Teradata Database,209,HIGH,4.0
Microsoft Visual Basic,207,HIGH,4.0
The MathWorks MATLAB,205,HIGH,4.0
Extensible markup language XML,203,HIGH,4.0
IBM Cognos Impromptu,203,HIGH,3.0
Apache Hadoop,202,HIGH,4.0
IBM Domino,202,HIGH,3.0
NortonLifeLock cybersecurity software,198,HIGH,3.0
Email software,196,HIGH,3.0
McAfee,194,HIGH,3.0
MEDITECH software,193,HIGH,4.0
Amazon Web Services AWS software,191,HIGH,4.7643979057591626
Splunk Enterprise,191,HIGH,4.0
Atlassian JIRA,184,HIGH,4.0
Graphics software,184,HIGH,3.0
ESRI ArcGIS software,184,HIGH,4.0
Electronic medical record EMR software,181,HIGH,3.0
Enterprise application integration EAI software,179,HIGH,3.0
Adobe Acrobat,179,HIGH,4.0
Enterprise JavaBeans,177,HIGH,3.0
Wireshark,174,HIGH,3.0
Shell script,172,HIGH,4.0
Data entry software,170,HIGH,3.0
C,166,HIGH,4.0
Google Workspace software,164,HIGH,4.0
Microsoft Azure software,164,HIGH,5.0
Integrated development environment IDE software,163,HIGH,3.0
Apple iOS,163,HIGH,4.0
RESTful API,161,HIGH,3.0
Platform as a service PaaS,159,HIGH,3.0
Extensible hypertext markup language XHTML,159,HIGH,3.0
Ab Initio,158,HIGH,3.0
Apache Cassandra,158,HIGH,4.0
IBM Cognos Business Intelligence,158,HIGH,3.0
Dassault Systemes SolidWorks,157,HIGH,4.0
Google Cloud software,156,HIGH,3.0
SAP Business One,156,HIGH,3.0
Docker,156,HIGH,4.0
IBM DB2,154,HIGH,4.0
Oracle Java,154,HIGH,4.0
SAP BusinessObjects Crystal Reports,154,HIGH,3.0
Microsoft Windows Server,154,HIGH,4.0
Database management software,154,HIGH,3.0
Cisco Systems VPN Client,153,HIGH,3.0
JavaScript,153,HIGH,4.0
SAP Adaptive Server Enterprise,153,HIGH,3.0
Virtual private networking VPN software,153,HIGH,3.0
Border Gateway Protocol BGP,152,HIGH,4.0
Network directory services software,152,HIGH,3.0
Microsoft Office Live Meeting,152,HIGH,3.0
Microsoft Active Directory,151,HIGH,4.0
PHP,151,HIGH,4.0
MapReduce big data software,150,HIGH,3.0
Cisco Systems CiscoWorks,149,HIGH,3.0
Sales analysis software,149,HIGH,3.0
Ansible software,149,HIGH,4.0
Voice over internet protocol VoIP system software,147,HIGH,3.0
Firewall software,147,HIGH,3.0
C++,146,HIGH,4.0
Oracle JD Edwards EnterpriseOne,146,HIGH,3.0
Informatica Corporation PowerCenter,146,HIGH,3.0
Perl,145,HIGH,4.0
Kubernetes,144,HIGH,4.0
Software as a service SaaS,144,HIGH,3.0
Security assertion markup language SAML,143,HIGH,3.0
Waters MassLynx,143,HIGH,3.0
MicroStrategy Desktop,143,HIGH,3.0
Apache Struts,142,HIGH,3.0
Intuit QuickBooks,142,HIGH,4.0
Microsoft Teams,142,HIGH,4.0
Single sign-on SSO,142,HIGH,3.0
WebEx Sales Center,142,HIGH,3.0
Hewlett Packard HP-UX,141,HIGH,3.0
NetSuite ERP,141,HIGH,3.0
YouTube,141,HIGH,3.0
Apache HBase,141,HIGH,3.0
Ruby,140,HIGH,4.0
React,137,HIGH,4.0
BioArray Software Environment BASE,137,HIGH,3.0
Hyperion Solutions Hyperion System 9 Bi+,136,HIGH,3.0
Waters Millennium32,136,HIGH,3.0
Apple Final Cut Pro,134,HIGH,3.0
Triple G ULTRA Laboratory Information System,134,HIGH,3.0
Microsoft Windows,134,HIGH,4.0
Test result delivery software,131,HIGH,3.0
Thermo ToxLab,131,HIGH,3.0
PerkinElmer TurboMass,130,HIGH,3.0
Waters Empower 2,130,HIGH,3.0
Statistical software,129,HIGH,3.0
Medical Scientists HybridAI,128,HIGH,3.0
Commercial plate reader software,128,HIGH,3.0
Apache Pig,127,HIGH,3.0
Qlik Tech QlikView,127,HIGH,3.0
Management information systems MIS,127,HIGH,3.0
Medical system integration software,126,HIGH,3.0
Specimen tracking software,125,HIGH,3.0
Sunquest Information Systems Sunquest Laboratory,125,HIGH,3.0
Medical Scientists MediSave,124,HIGH,3.0
Waters Q-DIS/QM LIMS,122,HIGH,3.0
Quality control software,121,HIGH,3.0
Billing software,119,HIGH,3.0
Medical digital imaging software,119,HIGH,3.0
Quizlet,119,HIGH,3.0
Microscopic image capturing software,118,HIGH,3.0
Hematology laboratory workflow management software,115,HIGH,3.0
Eko,112,HIGH,3.0
Laboratory information system LIS,109,HIGH,3.0
Test routing software,108,HIGH,3.0
Supervisory control and data acquisition SCADA software,104,HIGH,3.0
Reimbursement screening software,99,MEDIUM,3.0
Medical condition coding software,99,MEDIUM,3.0
JamBoard,98,MEDIUM,3.0
