Employee ID,Performance Score,Current Employee Rating,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost
3427,Fully Meets,4,15-Jul-23,Leadership Development,Internal,Failed,2,606.11
3428,Fully Meets,3,12-Sep-22,Customer Service,External,Incomplete,4,673.02
3429,Fully Meets,4,13-Aug-22,Leadership Development,External,Failed,2,413.28
3430,Fully Meets,2,15-Dec-22,Project Management,External,Completed,3,663.78
3431,Fully Meets,3,13-Jul-23,Technical Skills,External,Failed,5,399.03
3432,Fully Meets,3,18-Apr-23,Project Management,Internal,Passed,2,820.33
3433,Exceeds,4,06-Aug-22,Customer Service,External,Passed,5,295.08
3434,Fully Meets,2,07-Oct-22,Leadership Development,Internal,Passed,3,790.15
3435,Exceeds,3,19-Jul-23,Customer Service,Internal,Passed,3,798.4
3436,Fully Meets,5,09-Apr-23,Leadership Development,Internal,Failed,5,192.61
3437,Fully Meets,5,20-Oct-22,Technical Skills,Internal,Failed,1,455.68
3438,Fully Meets,3,05-Oct-22,Technical Skills,Internal,Failed,2,208.17
3439,Fully Meets,3,09-Mar-23,Technical Skills,External,Incomplete,1,421.07
3440,Fully Meets,3,29-May-23,Communication Skills,External,Failed,1,649.03
3441,Exceeds,4,08-Jan-23,Project Management,Internal,Passed,4,450.2
3442,Exceeds,2,06-Mar-23,Project Management,External,Failed,4,286.87
3443,Fully Meets,3,18-Feb-23,Technical Skills,External,Failed,3,402.13
3444,Fully Meets,3,02-Nov-22,Technical Skills,External,Failed,2,388.84
3445,Exceeds,4,14-Jul-23,Project Management,External,Completed,2,879.64
3446,Exceeds,2,11-Dec-22,Technical Skills,Internal,Failed,5,701.13
3450,Exceeds,2,12-Jan-23,Technical Skills,Internal,Completed,4,186.07
3451,Exceeds,3,22-Mar-23,Technical Skills,External,Completed,1,921.97
3452,Fully Meets,2,13-Sep-22,Customer Service,Internal,Failed,1,691.04
3453,Fully Meets,4,25-Aug-22,Customer Service,External,Completed,5,964.44
3454,Needs Improvement,4,07-Feb-23,Communication Skills,Internal,Passed,3,184.9
3455,Exceeds,4,17-Mar-23,Project Management,External,Passed,1,220.41
3456,Fully Meets,3,08-Jun-23,Technical Skills,External,Passed,2,336.82
3457,Needs Improvement,3,15-Apr-23,Customer Service,External,Completed,4,485.73
3460,Fully Meets,3,08-Jul-23,Communication Skills,External,Incomplete,5,919.52
3462,Needs Improvement,3,19-Jul-23,Project Management,External,Completed,1,320.01
3463,Fully Meets,1,29-Aug-22,Technical Skills,Internal,Incomplete,4,926.19
3464,Needs Improvement,5,13-Nov-22,Customer Service,External,Passed,2,290.47
3465,Needs Improvement,3,04-Jun-23,Communication Skills,External,Incomplete,1,706.1
3466,Exceeds,4,07-Dec-22,Customer Service,External,Passed,3,447.66
3467,Exceeds,1,24-Feb-23,Technical Skills,Internal,Incomplete,1,759.7
3468,Fully Meets,4,10-May-23,Customer Service,Internal,Completed,3,180.63
3471,Fully Meets,4,23-Mar-23,Customer Service,External,Passed,3,109.98
3472,Exceeds,4,12-Feb-23,Technical Skills,External,Completed,5,537.24
3473,Exceeds,2,06-Dec-22,Communication Skills,External,Failed,5,789.99
3474,Fully Meets,2,01-Sep-22,Customer Service,External,Incomplete,5,155.51
3475,Fully Meets,2,02-Nov-22,Customer Service,Internal,Passed,2,648.76
3476,Needs Improvement,2,18-Nov-22,Leadership Development,Internal,Incomplete,4,533.5
3477,Needs Improvement,2,07-Nov-22,Leadership Development,External,Failed,5,429.48
3478,Fully Meets,2,05-Oct-22,Technical Skills,External,Incomplete,1,526.74
3479,Fully Meets,2,18-Jan-23,Communication Skills,Internal,Passed,3,443.45
3483,Fully Meets,1,10-Aug-22,Project Management,External,Passed,4,111.96
3484,Fully Meets,4,27-Jun-23,Project Management,External,Passed,1,795.7
3485,Fully Meets,5,07-Aug-22,Customer Service,Internal,Passed,2,796.45
3486,Fully Meets,4,23-Jul-23,Project Management,Internal,Completed,5,812.59
3487,Fully Meets,4,17-Jul-23,Project Management,External,Completed,5,132.97
3488,Fully Meets,2,20-Sep-22,Communication Skills,Internal,Completed,1,308.19
